eng_Latn,hin_Deva
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","हाल ही में उनकी बेटी सबा अली खान ( Saba Ali Khan ) ने सोशल मीडिया पर एक खास तस्वीर पोस्ट की है।
"
"My father, mother, uncle, aunt, my elder sister.
","मां, कुकी, भाई, दीदी और नाउशू।
"
"My father, mother, uncle, aunt, my elder sister.
","वह मेरे बाप, मामा, भेया, दीदी, छोटी बहन सब हैं।
"
"The couple's anand karaj ceremony took place at Sonam's aunt Kavita Singh's mansion, Rockdale, in Bandra.
","दोनों की वेडिंग सेरेमनी सोनम की आंटी कविता सिंह के बैंडस्टैंड स्थित शानदार बंगले में हुई।
"
"The couple have a 15-year-old daughter who lives at her aunt's house.
","घर पर महिला अपनी 15 वर्षीया बेटी के साथ रहती है।
"
"He later informed his aunt.
","इसके बाद उसने अपनी भाभी को इसकी सूचना दी।
"
"The family picture featured Shraddha's aunt and veteran actress Padmini Kolhapure , her mother, Priyaankk Sharma with his wife and other family members.
","जी दरअसल इन तस्वीरों में श्रद्धा की आंटी और वेटरन एक्ट्रेस पद्मिनी कोल्हापुरे, उनकी मां, प्रियांक शर्मा और उनकी वाइफ के साथ फैमिली के कई मेंबर्स दिखाई दे रहे हैं।
"
"All the parents were there, husbands and wives, brothers, uncles, aunts, grandparents.
","वहां अब्बा, चाचा, भाई, मम्मा और कामरान के सारे घरवाले थे.
"
"Elder sister and maternal aunt (mother’s sister) are like mother.
","सास और जेठानी माता के समान है।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बॉलीवुड अभिनेता सैफ अली खान की बेटी सारा अली खान ने हाल ही में अपना एक ग्लैमरस फोटोशूट कराया है।
"
"After knowing the details of the incident, the victim’s aunt approached the police and lodged a complaint.
","घटना की जानकारी मिलने के बाद पीड़ित की बहन थाने पहुंची और पुलिस को मामले की जानकारी दी.
"
"Born as Chandrajeet Ganguly in Kolkata, he was trained in Indian classical music guided by his father Kali Ganguly and his aunt Shibani Roychowdhury.
","वह अपने पिता काली गांगुली और उनकी पिसीमा (पिता की बहन) शिबानी रॉयचौधरी के मार्गदर्शन में भारतीय शास्त्रीय संगीत में प्रशिक्षित हैं।
"
"The woman’s aunt and another relative were killed in the accident.
","इस नवविवाहित दंपति और उनके एक अन्य रिश्तेदार ने इस हादसे में जान गंवा दी।
"
"The victims include three young sisters and their aunt
","मरने वालों में तीन सगी बहनें और उनकी मां
"
"Currently, the children are staying at her aunt's house.
","फिलहाल मां-पिता छोटे बेटे के घर ही रह रहे हैं।
"
"A mother, a father, a brother or sister, grandparents, aunts, uncles, friends and neighbors.
","किसी का पिता, किसी का दादा, किसी का भाई, माँ, काकी या बहन।
"
"In another picture, Ranbir Kapoor and she pose with their aunt, Rima Jain.
","एक अन्य तस्वीर में ऋषि कपूर के साथ रिद्धिमा और रणबीर कपूर हैं।
"
"The family picture featured Shraddha's aunt and veteran actress Padmini Kolhapure , her mother, Priyaankk Sharma with his wife and other family members.
","इन तस्वीरों में उनकी बहन और दुल्हन शजा मोरानी, दूल्हा प्रियांक शर्मा और उनकी मां और एक्ट्रेस पद्मिनी कोल्हापुरे अपने परिवार के साथ दिखाई दे रहे हैं.
"
"A woman is always recognised by the roles she plays - mother, sister, daughter, spouse, aunt and so on.
","एक महिला की पहचान बेटी, बहन, पत्नी, बहू और मां के रूप में होती है।
"
"The aunt had no answer.
","भाभी ने कोई जवाब नहीं दिया।
"
"The woman’s aunt and another relative were killed in the accident.
","हादसे में मां-बेटे और एक अन्य रिश्तेदार ने मौके पर दम तोड़ दिया।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","इससे पहले उन्होंने अपने इंस्टाग्राम पर सारा अली खान के बचपन का एक फोटो शेयर किया था।
"
"A few days back, Jackson had sought help to arrange an ICU bed for his ailing aunt in Bhavnagar.
","जैक्सन ने कुछ दिन पहले अपनी बीमार आंटी के लिए भावनगर में आईसीयू में व्यवस्था करने के लिए मदद मांगी थी।
"
"Harris spoke of her family that included her sister, niece, stepchildren, uncles and “chithis” (younger maternal aunts).
","हैरिस ने अपने परिवार की बात की जिसमें उनकी बहन, भतीजी, सौतेले बच्चे, चाचा और चिट्टी शामिल थे।
"
"I am your aunt.
","में तेरा चंदा मामा हूं।
"
"His aunt Vasundhara Raje is a senior BJP leader and former chief minister of Rajasthan.
","राजस्थान की पूर्व मुख्यमंत्री और भाजपा नेता वसुंधरा राजे यशोधरा राजे की बड़ी बहन हैं.
"
"The aunt had no answer.
","आतनोचका ने कोई जवाब न दिया।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","हाल ही में बॉलीवुड की एक जानी-मानी एक्ट्रेस सारा अली खान (Sara Ali Khan) ने भी अपने फैंस के साथ अपने बचपन से जुड़ी एक याद शेयर की.
"
"After her mother died, she left her father and two brothers to live with her aunt.
","मां-बाप के देहांत हो जा जाने के बाद वह अपनी दो बहनों के साथ छिप-छिपकर रहता था।
"
"But it doesn’t include grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-in-laws and sisters-in-law, fiancés and any other extended family members.
","इसके अनुसार, ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे पारिवारिक सदस्‍य को को करीबी रिश्तेदार में शामिल नहीं किया गया है।
"
"Actress Shamita Shetty expressed her joy on the birth of Shilpa Shetty Kundra's daughter Samisha and said that she was excited to be an aunt again.
","शिल्पा ने सोशल मीडिया पर बेटी समीशा शेट्टी कुंद्रा की मां बनने की खुशी जाहिर ही थी।
"
"The couple have a 15-year-old daughter who lives at her aunt's house.
","छोटा बेटा और 15 वर्षीय बेटी घर पर रहते हैं।
"
"Contesting on a BJP ticket, Shantanu Thakur defeated his aunt Mamata Bala Thakur who contested on a TMC ticket in the Bongaon seat.
","भाजपा के टिकट पर चुनाव लड़ने वाली चंदना बाउरी ने सालतोरा सीट पर टीएमसी के संतोष कुमार मोंडल को मात दे दी है.
"
"Shraddha Kapoor's mother Shivangi Kapoor, aunt Padmini Kolhapure and brother Siddhant Kapoor were also present to watch the film.
","- श्रद्धा कपूर की मां शिवांगी कोल्हापुरी, उनके भाई सिद्धांत कपूर और उनकी मासी पद्मिनी कोल्हापुरी 'स्त्री' देखने पहुंची।
"
"A mother or an aunt?
","डैड के या मॉम के?
"
"Nikita Rawal was in Delhi's Shastri Nagar at her aunt’s residence when the incident happened.
","निकिता के साथ लूट की यह घटना तब हुई जब वो दिल्ली के शास्त्री नगर में अपनी आंटी के घर पर थीं.
"
"A woman is a daughter, sister, niece, wife, mother, aunt, stepmother, and grandmother.
","स्त्री, बेटी, मां, बहन, प्रेयसी होती है।
"
"The boy’s aunt lives in Canada.
","ये बच्ची कनाडा में रहती है.
"
"After her dad is killed her aunt and uncle have taken her and her brother to live with them.
","पिता के गुजर जाने के बाद उसकी मां ने उसका और उसके भाई का पालन-पोषण किया।
"
"A term 'relative' refers to a parent, child, step child, brother, sister, aunt, uncle, nephew, niece, grandparent and grandchild.
","नजदीकी रिश्तेदार का मतलब पिता, माता, भाई, बहन, दादा, दादी, पोता और पोती से है।
"
"A man cannot marry his mother, his sister, his aunt, his daughter, his grand- mother, nor his granddaughter.
","किसी औरत का अपने बाफ्दादा, नाना, बेटा, पोता, भाई, मामूं, चचा, भतीजा, भांजा, दामाद ससुर और ससुर के बाप से निकाह जायज़ नहीं है।
"
"Be it a brother, sister, parent, niece, nephew, aunt, uncle, neighbour or friend.
","चाहे वह आपके भाई, माता-पिता, रिश्तेदार, दोस्त, प्रेमी या प्रेमिका या जीवनसाथी और ससुराल वाले आदि हों।
"
"Both my father and my aunt were teachers.
","मेरे दादा जी व पिता जी शिक्षक रहे हैं।
"
"“My mother, aunt and my cousin sister were also there with me.
","मेरी बहन, मुत्युझुजय की मां और मेरी भौजाई भी साथ गई।
"
"The girl was rescued by her aunt and other relatives.
","महिला को उसके ससुर और अन्य लोगों ने आकर बचाव किया।
"
"While Bongaon MP Santanu Thakur and Subrata Thakur are with the BJP, their aunt Mamatabala Thakur is the only person in the family who is siding with the TMC.
","वीणापाणि देवी के परिवार की ममता बाला ठाकुर तृणमूल सांसद थीं, जबकि परिवार के ही सुब्रत ठाकुर व शांतनु ठाकुर बीजेपी में हैं।
"
"According to police, the girl's aunt and her boyfriend were arrested in this connection.
","पुलिस ने इस सिलसिले में नाबालिग लड़की के प्रेमी और उसके साथी को गिरफ्तार किया हैं.
"
"After the passing of her parents, she lived with her aunt and uncle.
","माता-पिता का देहांत होने के बाद वह भाई-भाभी के साथ रहता था।
"
"He had gone to his aunt’s house that night.
","उस रात माँ नानी के यहाँ गयी हुई थीं.
"
"Freedom fighter, writer, translator, editor. . sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more.
","आप एक स्वतंत्रता सेनानी, लेखक, अनुवादक, संपादक. . . बहन, पत्नी, मां, नानी, दोस्त, राजदार और भी बहुत कुछ थीं.
"
"Leela Roy: Leela Roy was Nag's aunt, who was in constant touch with Netaji between 1922 and Jan 1941.
","बिजोय की आंट लीला रॉय 1922 से जनवरी 1941 के बीच लगातार नेताजी के संपर्क में थीं।
"
"On being questioned further, the boy told the police that he had received it from his aunt who lives in Punjab.
","गहराई से पूछताछ में उस लड़के ने पुलिस को बताया कि उसको लीक हुआ पेपर अपनी पंजाब में रहने वाली आंटी से मिला था।
"
"Inaaya's aunt, Saba Ali Khan, also wished her on Instagram by sharing a photo of her.
","कुणाल की साली सबा अली खान ने भी अपने इंस्टाग्राम पर फोटोज शेयर अपने जीजा को बर्थडे विश किया।
"
"Both aunts were killed in the accident.
","हादसे में दोनों भाई-बहन की मौत हो गई।
"
"In the incident, the survivor’s aunt and her sister were killed, while the survivor and her lawyer were critically injured.
","इस दुर्घटना में पीड़िता के चाचा की मौत हो गयी जबकि बलात्कार पीड़िता एवं उसके वकील बुरी तरह घायल हो गये.
"
"Apart from the family members, several star kids including Taimur Ali Khan and his aunt Soha Ali Khan with her daughter Inaaya Naumi Kemmu, Tusshar Kapoor's son Laksshya and Pragya Yadav with son, marked their presence at the bash.
","उनके साथ बहन अर्पिता, उनके पति आयुष शर्मा और उनके बच्चे, भाई सोहेल खान के बेटे, कथित गर्लफ्रेंड लूलिया वंतूर, दोस्त जैकलीन फर्नांडीज और वालुस्चा डीसूजा के अलावा उनके क्रू के कुछ लोग भी थे.
"
"Currently, Taimur is staying with his aunt Karisma Kapoor.
","फिलहाल बच्‍चे मां करिश्‍मा कपूर के साथ ही रहते हैं।
"
"Both the women are the daughters of his aunts.
","दोनों महिलाएं उनकी बहनें हैं।
"
"Police detained the parents as well as the uncle and the aunt.
","पुलिस ने सास-ससुर, जेठ-जेठानी को हिरासत में भी ले लिया है.
"
"“My grandmother had four children — my dad and three of my aunts.
","“पन्‍ना के चार बच्चे थे--तीन बेटे और एक बेटी ।
"
"According to the police, the woman alleged that she was raped by her aunt's nephew who also forced her to undergo abortion.
","पुलिस के अनुसार महिला ने आरोप लगाया कि उसके साथ उसकी आंटी के एक रिश्तेदार ने बलात्कार किया, जिसने उसे गर्भपात (Abortion) कराने के लिए भी मजबूर किया.
"
"The aunt had no answer.
","अच्ची ने कोई जवाब न दिया ।
"
"After his mother passes away, he lives next door to his childhood home with his aunt.
","किशोरी की मां का निधन होने के बाद वह अपने चाचा के यहां रहती है।
"
"The woman’s aunt and another relative were killed in the accident.
","हादसे में माता-पुत्र व एक अन्य महिला की मौके पर मौत हो गई।
"
"In this picture, Aaradhya is accompanied by parents Aishwarya and Abhishek, grandparents Amitabh Bachchan and Jaya and aunt Shweta.
","इन तस्वीरों में नव्या के भाई अगस्त्या और मां श्वेता नंदा के अलावा ऐश्वर्या से लेकर अमिताभ बच्चन तक नजर आ रहे हैं।
"
"She lives in New York with her maternal grand-parents and aunt.
","वह न्यूयॉर्क में अपने मैटर्नल पैरेंट्स संग रहती हैं।
"
"Doesn't he have any other aunts or uncles, cousins, etc.?
","उसके कोई सम्रे-संबंधी, भाई-भततीजा वगैरह नहीं हैं ?
"
"“Actually, Sairaji doesn’t remember this but her medicines used to be sent by my aunt from London.
","दरअसल सायरा जी को यह शायद याद न हो लेकिन उनकी दवा मेरी आंटी लंदन से भेजा करती थीं।
"
"The accused is the son of the victim's paternal aunt.
","आरोपी पीड़िता का सौतेला नाना है।
"
"The girl has been sent to her aunt’s house.
","युवती को उसके घर भेज दिया गया है।
"
"She might be seen playing the aunt of Mahesh Babu in the Trivikram Srinivas directorial.
","त्रिविक्रम श्रीनिवास के निर्देशन में बन रही इस फिल्म में वे महेश बाबू की आंटी के रोल में दिख सकती हैं।
"
"""""""In response, the court has directed the SP of Handwara and the local SHO """"""""to declare the law and authority under which they have kept in police custody a minor girl, her father and aunt.""""""""""""""
","""""""याचिका पर अदालत ने हंदवाड़ा के पुलिस अधीक्षक और हंदवाड़ा पुलिस थाने के थाना प्रभारी को निर्देश दिए हैं कि """"""""वे यह बताएं कि किस कानून और अधिकार के तहत उन्होंने एक नाबालिग लड़की, उसके पिता और आंटी को पुलिस हिरासत में रखा है""""""
"
"The boy’s aunt lives in Canada.
","बेटा-बेटी कनाडा में रहते हैं।
"
"In Delhi, she told her aunt about the rape.
","दिल्ली में, उसने अपनी आंटी को बलात्कार के बारे में बताया।
"
"AIADMK leader TTV Dhinakaran and his aunt VK Sasikala have been expelled from the party.
","शशिकला और उनके भतीजे तथा पार्टी के उप महासचिव टी. टी. वी. दिनाकरन को पार्टी से निष्कासित किए जाने के संदर्भ में यह बात कही।
"
"Mothers, brothers, sisters, uncles, aunts, fathers and grandparents were all forbidden.
","पापा, मम्मी, ताऊ, बड़ी बहन, चचेरी बहन समेत तमाम रिश्तेदार-नातेदार बेसुध थे।
"
"These letters were written to her aunt by some of the most legendary Bollywood stars including Shammi Kapoor, Dharmendra, Rajendra Kumar, Sunil Dutt, Saira Banu, Tabassum and many more.
","यह लेटर शम्मी कपूर, राजेंद्र कुमार, धर्मेंद्र, सुनील दत्त, सायरा बानो, तबस्सुम आदि जैसे सितारों ने मेहरुनिसा नजमा के खतों के जवाब में लिखे थे.
"
"“I also lost close relatives recently, including an uncle and an aunt, my school principal, some faculty members, which has really affected me.
","कोविड के हालातों पर करण ने कहा, 'मैंने हाल ही में अपने कुछ रिश्तेदारों को खो दिया, जिसमें मेरे अंकल- आंटी, मेरे स्कूल के प्रिसिंपल, कुछ फैकल्टी मेंबर्स भी शामिल हैं, जिसने मुझे झकझोर दिया।
"
"After the merger, it was announced that steps would be taken to expel jailed AIADMK general secretary and Dhinakaran's aunt V K Sasikala from the party.
","विलय के बाद घोषणा की गई थी कि जेल गई अन्नाद्रमुक की महासचिव और दिनाकरण की रिश्तेदार वी. के. शशिकला को पार्टी से निकालने के लिए कदम उठाए जाएंगे।
"
"But I love my aunt.
","लेकिन मैं अपनी बहन से प्यार करता हूं।
"
"The new rules do not consider grandparents, grandchildren, aunts, uncles, nieces, nephews, cousins, brothers-laws and sisters-in-law, fiancees or other extended family members to be close relationships, the news agency reported.
","नई गाइडलाइन में ग्रैंडपेरेंट्स, ग्रैंड चिल्ड्रेन, आंटी, अंकल, भतीजा-भतीजी, चचेरे भाई-बहन, साला-साली, मंगेतर और दूसरे फैमिली मेंबर्स को नजदीकी रिश्तेदार में शामिल नहीं किया गया है.
"
"The couple have a 15-year-old daughter who lives at her aunt's house.
","15 वर्षीय बेटी मां के साथ रहती है।
"
"His father and aunt, too, had contracted the infection.
","इसके अलावा इनके पापा और दादी भी संक्रमित थे.
"
"With an eye on Matua votes, the BJP has fielded late Binapani Devi's grandson Shantanu Thakur, an emerging leader of the community, from the Bongaon Lok Sabha constituency against his aunt and sitting TMC MP Mamata Bala Thakur.
","दलित मतुआ समुदाय की बहुलता वाली बोंगाओं लोकसभा सीट पर भाजपा उम्मीदवार और मतुआ समुदाय की दिवंगत कुलमाता बीनापानी ठाकुर के परपोते शांतनु ठाकुर अपनी रिश्तेदार और तृणमूल की मौजूदा सांसद ममता बाला ठाकुर से आगे चल रहे हैं।
"
"A daughter, wife, aunt, friend and mother.
","स्त्री, बेटी, मां, बहन, प्रेयसी होती है।
"
"Police also has arrested girl’s aunt and her boyfriend.
","पुलिस ने युवती के साथ ही उसके प्रेमी को भी गिरफ्तार कर लिया है।
"
"All of our lives – my parents, my sisters, my grandparents, my cousins and aunt, the rest of our family.
","मेरी माँ, मेरे दादा, मेरी दादी, मेरे आंटी, अंकल, चचेरे भाई-बहन पूरा परिवार रजानीति में था।
"
"Among the accused who have been arrested by the Sringeri police is her aunt who had pushed her into prostitution, a senior police officer told PTI.
","एक वरिष्ठ पुलिस अधिकारी ने बताया कि श्रृंगेरी पुलिस ने जिन आरोपियों को गिरफ्तार किया है, उनमें लड़की की एक रिश्तेदार भी शामिल है जिसने उसे वेश्यावृत्ति में धकेल दिया था।
"
"“A phone call came in from my aunt,” she says.
","उन्होंने कहा, “मुझे अपनी माँ का फोन आया।
"
"The aunt had no answer.
","छोटी बहने कोई जवाब नहीं दिया।
"
"Contesting on a BJP ticket, Shantanu Thakur defeated his aunt Mamata Bala Thakur who contested on a TMC ticket in the Bongaon seat.
","पिछले लोकसभा चुनाव में बीजेपी के शांतनु ठाकर ने टीएमसी की ममता ठाकुर को हरा दिया।
"
"Neelam Mukerji, Joy Mukerji's wife and Rani's aunt, said, ""I didn't know about the wedding, but I am very happy for her.
","जॉय मुखर्जी की पत्नी और रानी की आंटी ने नीलम मुखर्जी ने कहा ' मैं इस शादी के बारे में नहीं जानती थीं लेकिन मैं रानी के लिए बहुत खुश हूं।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","सबा ने हाल ही में अपने इंस्टाग्राम हैंडल से भाभी करीना कपूर और बहन सोहा अली खान के साथ अपनी एक फोटो शेयर की है।
"
"All ten of those people were somebody's mother, father, brother, sister, child, aunt, uncle - all important to someone else!
","हर एक के परिवार में माँ, बाप, दादा दादी, भाई , बहन जैसे और भी बहुत से लोग होते है!
"
"While one photo features little Taimur with his aunt, in the other photo Taimur Ali Khan and Kareena Kapoor are seen making funny faces.
","तस्वीरों में एक ओर जहां करीना कपूर खान एक नन्हें से बच्चे के साथ नजर आ रही हैं तो वहीं तैमूर अली खान भी उस बच्चे के साथ काफी खुश नजर आ रहे हैं।
"
"I am your aunt.
","में हू तेरा घतमाणा ।
"
"Karan is the son of Dimple’s aunt, Simple Kapadia.
","करण डिंपल की बहन सिंपल के बेटे हैं.
"
"“This one is my aunt’s house.
","“वह तो वाबूजी का घर है।
"
"According to the police, the 17-year-old girl stayed with her paternal aunt and uncle.
","ऐशबाग पुलिस के मुताबिक 17 वर्षीय किशोरी औकाफ कॉलोनी में अपनी मां के साथ रहती है।
"
"The same rule applies to a mother and son, father and daughter, brother and sister, niece, nephew, parental uncle and parental aunt.
","भाई-भाई के विषय में, बाप-बेटे के विषय में, सास-बहू के विषय में , गुरु-शिष्य के विषय में भी इसी प्रकार का नियम लागू होता है।
"
"There she began her new life with her aunt.
","नीता के साथ वहीं उसने अपनी नई जिंदगी की शुरुआत की।
"
"My father, mother, uncle, aunt, my elder sister.
","मेरी माँ, मेरे पिताजी मेरा बड़ा भाई और मेरी दादी ।
"
"Bollywood actress Sara Ali Khan’s aunt Saba Ali Khan recently shared a childhood photo of her niece on Instagram.
","बता दें कि हाल ही में सैफ अली खान की बेटी सारा अली खान ने सोशल मीडिया पर अपनी एक तस्वीर सोशल मीडिया पर शेयर की है।
"
"At first the aunt didn’t even realize what was happening.
","पहले तो गधे को कुछ समझ में नहीं आया कि ये क्या हो रहा है?
"
"Based on Sumits uncle Ramesh Singhs complaint, the police have booked girls father, mother, uncle and aunt on the murder charges.
","पिता रामचंद्र की तहरीर पर पुलिस ने पति सुमित, सास सुशीला देवी व ससुर हनमत सिंह के खिलाफ दहेज हत्या का केस दर्ज किया है।
"
"The state police has got in touch with her mother and aunt and she will be handed over to them as there is no case pending against the detained girl either in the Valley or Maharashtra, they said.
","राज्य पुलिस ने बताया कि उन्होंने लड़की की मां और एक अन्य संबंधी से संपर्क किया है और उसे उनके हवाले कर दिया जाएगा क्योंकि उसके खिलाफ घाटी या महाराष्ट्र में कोई मामला दर्ज नहीं है।
"
"Her aunt is seriously injured.
","उसका साला गंभीर रूप से जख्मी हो गया है।
"
"He added: ""I feel very lucky I got a chance to share screen space with my aunt.
","उन्होंने आगे कहा, ""मैं बहुत भाग्यशाली महसूस करता हूं कि मुझे अपनी आंटी के साथ स्क्रीन स्पेस साझा करने का मौका मिला।
"
"Karisma Kapoor shared an intimate family picture with Rishi Kapoor, aunt Neetu Kapoor and sister Kareena Kapoor on Instagram.
","नीता की वायरल हो रही इस तस्वीर को अंबानी फैमिली के इंस्टाग्राम एकाउंट से शेयर किया है और इस तस्वीर में नीता के साथ करीना कपूर खान (Kareena Kapoor Khan) और करिश्मा कपूर (Karisma Kapoor) भी देखने को मिल रही हैं.
"
"I am your aunt.
","में तेरा मामा हूं ।
"
"These include brothers, sisters, nephews, uncles, aunts.
","इनमें बच्ची की मां, दादी, बहन और चचेरी बहन शामिल हैं।
"
"All my aunts were there.
","मेरी सभी भाई-बहन वहीं थे.
"
"The vehicle in which she, her two aunts and lawyer were travelling collided with a truck.
","जिस वाहन में वह, उसकी दो आंटियां और वकील सवार थे वह एक ट्रक से टकरा गई।
"
"Meanwhile, Arhaan's maternal aunt and Malaika's sister Amrita Arora also shared some photographs on Instagram to wish the birthday boy on his special day.
","वहीं अगर बात मलाइका अरोड़ा की करे तो, मलाइका अरोड़ा ने अपने इंस्टाग्राम पर भी अपने बेटे अरहान खान के साथ फोटो शेयर कर उसको जन्मदिन विश किया है.
"
"After the death of her mother she lived with her aunt and uncle.
","माता-पिता का देहांत होने के बाद वह भाई-भाभी के साथ रहता था।
"
"His aunt and cousins were at home.
","घर में उसकी बहू और पोता-पोती रह रहा था।
"
"A relative is defined to mean a parent, grandparent, brother, sister, uncle, aunt, nephew, niece, lineal descendant, or adopted child of the member, or of the member’s spouse (including same-sex spouse).
","नजदीकी संबंधी के रूप में पति/पत्नी, भाई, बहन, पुत्र, पुत्री, पोता, पोती, दामाद, पुत्रवधू, भांजा, भांजी, भतीजा अथवा भतीजी को ही मान्यता दी जाएगी।
"
"""Rihanna looked at me like I was one of her aunts.
","उन्होंने कहा कि रिहाना ने मुझे इस तरह से देखा, जैसे मैं उसकी आंटियों में से एक हूं।
"
"I am your aunt.
","में आपका पूत्र हूँ।
"
"Kareena Kapoor's aunt Rima Jain also arrived to meet the little one.
","करीना से मिलने सोनम कपूर की बहन रिया कपूर भी पहुंचीं।
"
"When Shivam and his family refused, the complainant left Unnao and began living with her aunt in Lalganj to escape embarrassment.
","जब शिवम और उसके परिवार ने इनकार कर दिया, तो शिकायतकर्ता ने उन्नाव छोड़ दिया और शर्मिंदगी से बचने के लिए लालगंज में अपनी रिश्तेदार के साथ रहने लगी।
"
"A custody case has been filed by the child’s aunt in the family court.
","बच्चों की कस्टडी के लिए मुकदमा परिवार न्यायालय में विचाराधीन है।
"
"Another aunt Vasundhara Raje is the BJP’s chief ministerial candidate in Rajasthan.
","वसुंधरा राजे राजस्थान में भाजपा की ओर से मुख्यमंत्री पद की उम्मीदवार हैं.
"
"Anjali’s aunt is British.
","अंजली की मां ब्रिटिश मूल की है।
"
"Freedom fighter, writer, translator, editor. . sister, wife, mother, aunt, grandmother, friend, confidant - you were so many things and more.
","आप एक स्वतंत्रता सेनानी, लेखक, अनुवादक, संपादक… बहन, पत्नी, मां, नानी, दोस्त, राजदार और भी बहुत कुछ थीं.
"
"Among others, Sara's aunt Saba Ali Khan commented on the post and wrote: ""Mashallah.
","दूसरों के बीच, सारा की आंटी सबा अली खान ने पोस्ट पर टिप्पणी की और लिखा: ""माशाल्लाह""
"
"Her aunt Rebekah was Jacob's mother.
","यग्कब ओर एवते की माता रिबकः का भाई था॥
"
"Isn’t she the wife of his uncle, and not his aunt, ie., his father’s sister?
","क्या वह उसके भाई का पुत्र और उसकी पुत्री का पति नहीं था?
"
"""Pishi"" is the Bengali word used for paternal aunt and the BJP refers to Mamata Banerjee as ""Pishi"" as she is the aunt of TMC MP and party heavyweight Abhishek Banerjee.
","बीजेपी नेता और विरोधी दल बंगाल में “भाइपो” शब्द का इस्तेमाल सीएम ममता बनर्जी के भतीजे एमपी अभिषेक बनर्जी के लिए करते हैं.
"
"All the aunts and uncles and cousins gathered.
","सारी मौसेरी-ममेरी बहनें और भाभियां वहां इकट्ठा थीं।
"
"The child was living with her paternal uncle and aunt after her parents’ deaths.
","बालिका अपने पिता की मौत के बाद से अपनी मां व भाई बहनों के साथ अपने नाना के यहां रहती थी।
"
"“Actually, Sairaji doesn’t remember this but her medicines used to be sent by my aunt from London.
",""" शाहरुख ने आगे बताया, ""वास्तव में, सायराजी को यह याद नहीं है, लेकिन मेरी आंटी लंदन से उनकी दवाएं भेजती थीं।
"
"She might be seen playing the aunt of Mahesh Babu in the Trivikram Srinivas directorial.
","त्रिविक्रम श्रीनिवास द्वारा निर्देशित इस फिल्म में वो महेश बाबू की आंटी का किरदार निभा सकती हैं.
"
"She was later taken to her aunt’s home.
","बाद में वह उन्हें आंटी के घर ले गई थीं।
"
"His grandmother Vijayraje Scindia was among the founder members of the BJP and his aunts Vasundhara Raje and Yashodhara Raje are also in the party.
","वैसे भी ज्योतिरादित्य सिंधिया की दादी व ग्वालियर की राजमाता विजया राजे सिंधिया जनसंघ की सक्रिय सदस्य होने के साथ-साथ भाजपा की संस्थापकों में शामिल रही थीं।
"
"Meanwhile, Dhinakaran said many AIADMK functionaries and workers had turned up to welcome his aunt, with the party flags in their hands.
","इस बीच, दिनाकरण ने कहा कि एआईडीएमके के अनेक पदाधिकारी और कार्यकर्ता शशिकला का स्वागत करने पहुंचे, उनके हाथों में पार्टी के झंडे भी थे।
"
"Actor Nutan , aunt of Kajol and mother of actor Mohnish Bahl, was one such a star.
","ऐसे ही काजोल नूतन की भांजी हैं और एक्टर मोहनीश बहल की बहन भी।
"
"The aunt had no answer.
","वृद्धा ने कोई उत्तर नहीं दिया ।
"
"The four convicts include the victim’s parents and her uncle and aunt.
","सजा पाने वालों में मृतक के सहोदर भाई व भाभी समेत चार आरोपी शामिल हैं।
"
"Brothers, sisters, moms, aunts, uncles and cousins hang out together.
","बाप, बेटे, वाइफ और भाई-भतीजा मिलकर एक साथ स्मगलिंग करते हैं।
"
"Inaaya is the daughter of Sara's aunt Soha Ali Khan.
","शाहीन, सायरा बानो के भाई की बेटी हैं।
"
"Little girl takes airport security's permission to hug aunt
","छोटी बच्ची ने एयरपोर्ट पर मौजूद सिक्योरिटी से ली अनुमति, फिर लगाया अपनी आंटी को गले
"
"Mumbai: Actress Shraddha Kapoor has urged her fans to watch a short film starring her aunt Tejaswini Kolhapure.
","अभिनेत्री श्रद्धा कपूर ने अपने प्रशंसकों से उनकी आंटी तेजस्वनी कोल्हापुरे अभिनीत लघुफिल्म देखने का अनुरोध किया है।
"
"“Since then, we are at my aunt’s home.
","उन्होंने कहा, ‘‘ तब से हम अपनी बहन के घर हैं।
"
"And my aunt hasn’t even said anything to me.
","और आंटी ने भी कभी मुझे कुछ नहीं कहा था.
"
