eng_Latn,mal_Mlym
"Similarly, not much is known about his uncles, aunts, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, സ ma മയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, the left-back's cousins are yet to be identified especially in events of his early life to date.
","അതുപോലെ, ഇടത് പുറകിലെ കസിൻസിനെ പ്രത്യേകിച്ച് അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ സംഭവങ്ങളിൽ ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, the soccer genius is yet to reveal his uncles, aunts, cousins, nephews and nieces.
","അതുപോലെ, സോക്കർ പ്രതിഭ തന്റെ അമ്മാവൻമാർ, അമ്മായിമാർ, കസിൻസ്, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെ ഇതുവരെ വെളിപ്പെടുത്തിയിട്ടില്ല.
"
"Similarly, there are no records of Cancelo's uncles, aunts, nephews and nieces while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, കാൻസലോയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നുമില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, there are no records of Cancelo's uncles, aunts, nephews, and nieces while his cousins have not been identified in notable events of his early life to date.
","അതുപോലെ, കാൻസലോയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നുമില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, there are no records of Greenwood's aunts, uncles, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, ഗ്രീൻവുഡിന്റെ അമ്മായിമാർ, അമ്മാവന്മാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നുമില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻമാരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, there are no records of Tielemans' uncles, aunts, nieces and nephews while his cousins have not been identified in notable events of his early life to date.
","അതുപോലെ, സ ma മയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, there are no records of his aunts, uncles, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, ഗ്രീൻവുഡിന്റെ അമ്മായിമാർ, അമ്മാവന്മാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരുടെ രേഖകളൊന്നുമില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻമാരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Similarly, there are no records of the playmaker's uncles, aunts and cousins while he has no nephews or nices at the time of writing.
","അതുപോലെ, പ്ലേമേക്കറുടെ അമ്മാവന്മാരുടെയും അമ്മായിയുടെയും കസിൻസിന്റെയും രേഖകളൊന്നുമില്ല, അതേസമയം എഴുതുമ്പോൾ അദ്ദേഹത്തിന് മരുമക്കളോ നൈസുകളോ ഇല്ല.
"
"Similarly, there has been no mention of Lawan's uncles, aunts, nieces and nephews while his cousins have not been identified in notable events of his early life till date.
","അതുപോലെ, സ ma മയുടെ അമ്മാവൻമാർ, അമ്മായിമാർ, മരുമക്കൾ, മരുമക്കൾ എന്നിവരെക്കുറിച്ച് കൂടുതൽ അറിവില്ല, അതേസമയം അദ്ദേഹത്തിന്റെ ആദ്യകാല ജീവിതത്തിലെ ശ്രദ്ധേയമായ സംഭവങ്ങളിൽ അദ്ദേഹത്തിന്റെ കസിൻസിനെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"Siraj-Ud-Daulah's nomination to the Nawabship aroused the jealousy and enmity of Ghaseti Begum (the eldest sister of Siraj's mother), Raja Rajballabh, Mir Jafar Ali Khan and Shawkat Jang (Siraj's cousin).
","സിറാജ്-ഉദ് ദൌളയെ നവാബ് സ്ഥാനത്തേയ്ക്ക് നിർദ്ദേശിച്ചത് ഘസേറ്റി ബീഗം (സിറാജിന്റെ അമ്മയുടെ ഏറ്റവും മുതിർന്ന സഹോദരി), രാജ രാജ്ബല്ലഭ്, മിർ ജാഫർ അലി ഖാൻ, ഷൌക്കത്ത് ജങ്ങ് (സിറാജിന്റെ മാതൃസഹോദരീ പുത്രൻ) എന്നിവരുടെ അസൂയയ്ക്കും ശത്രുതയ്ക്കും കാരണമായി.
"
"Sisters, mothers, brothers, sons, grandparents, and cousins all living together under one roof.
","അച്ഛൻ, അമ്മ, അനിയത്തി, മുത്തച്ഛൻ, മുത്തശ്ശി, അമ്മാവന്മാരും കുടുംബവും എല്ലാം ഒറ്റ കൂരയ്ക്ക് കീഴിലായിരുന്നു താമസിച്ചിരുന്നത്.
"
"So their cousins, the sons of Kish, married them.
","കിഷിന്റെ പുത്രൻമാരായ അവരുടെ ചാർച്ചക്കാർ അവരെ വിവാഹംചെയ്തു.
"
"So this is your child's first cousin?
","ആട്ടെ, ഇത് ചേട്ടന്റെ ആദ്യത്തെ കുട്ടിയാണോ?
"
"So, when I started dating, must have been around 18, a cousin explained how it is like betraying my parents to have sex before my marriage.
","ഏതാണ്ട് 18 വയസായപ്പോൾ ഞാൻ ഡേറ്റിങ് ആരംഭിച്ച സമയത്ത് എന്റെ കസിൻ പറഞ്ഞു, വിവാഹത്തിനു മുമ്പ് സെക്സിൽ ഏർപ്പെടുന്നത് മാതാപിതാക്കളെ വഞ്ചിക്കലാണെന്ന്.
"
"Some Shia Muslims argue that it refers to Ali, the cousin of Prophet Muhammad and the fourth caliph of Islam.
","ചില ശിയാ മുസ്ലിംകൾ വാദിക്കുന്നത് അത് സൂചിപ്പിക്കുന്നത് പ്രവാചകന്റെ പിതൃവ്യപുത്രനും നാലാമത്തെ ഖലീഫയുമായിരുന്ന അലി (റ) യെ ആണെന്നാണ്.
"
"Some of my cousins have blonde hair.
","ചില മദാമ്മകൾക്ക് വെള്ളിക്കളർ മുടിയാ.
"
"Some of them are our cousins and brothers.
","അവരിൽ ചിലർ നമ്മുടെ മാതാപിതാക്കളോ സഹോദരരോ ആണ്.
"
"Sometimes she was one of my cousins, other times, she was my mother.
","ചില നേരങ്ങളിൽ അവൾ എന്റെ അമ്മ ആകാറുണ്ട്, മറ്റു ചില നേരങ്ങളിൽ ഞാൻ അവളുടെ അച്ഛനും.
"
"Sonam Kapoor is my favourite cousin.
","സോനം കപൂർ എന്റെ പ്രിയപ്പെട്ട കൂട്ടുകാരിയാണ്.
"
"Thank you for being the most loving and caring cousin sister of the whole wide world!
","ലോകത്തെ ഏറ്റവും സ്നേഹവും കരുതലും ഉള്ള സഹോദരിയായതിന് നന്ദി!
"
"That day, my cousin had come to my home to stay for a few days.
","അങ്ങനെ ഒരു ദിവസം എന്റെ വീട്ടിലോട്ട് എന്റെ കസിൻ കുറച്ചു ദിവസം താമസിക്കാന് വന്നു.
"
"The EOS 80D is a form of cousin to the more very well-known Rebel series.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The EOS 80D is a sort of cousin to the greater famous Rebel series.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The EOS 80D is a sort of cousin to the more effectively-regarded Rebel sequence.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The EOS 80D is a sort of cousin to the more nicely-recognized Rebel series.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The EOS 80D is a type of cousin to the more effectively-known Rebel collection.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The EOS 80D is a type of cousin to the more nicely-known Rebel collection.
","കൂടുതൽ അറിയപ്പെടുന്ന റീബൽ പരമ്പരയ്ക്ക് ഒരു തരം ബന്ധമാണ് EOS 80D.
"
"The Kiger is underpinned by the same CMF-A+ platform which is shared by the Triber and its forthcoming cousin Nissan Magnite.
","എംപിവി മോഡലായ ട്രൈബറും അതിന്റെ വരാനിരിക്കുന്ന കസിൻ നിസാൻ മാഗ്നൈറ്റും പങ്കിടുന്ന അതേ CMF-A+ പ്ലാറ്റ്ഫോമാണ് കിഗറിനേയും പിന്തുണയ്ക്കുന്നത്.
"
"The Note's massive screen used to be one of the key characteristics that distinguished the Note from its Galaxy S cousins.
","നോട്ടിന്റെ ഗാലക്സി എസ് കസിൻസിൽ നിന്ന് കുറിപ്പിനെ വേർതിരിക്കുന്ന പ്രധാന സ്വഭാവങ്ങളിലൊന്നാണ് നോട്ടിന്റെ കൂറ്റൻ സ്ക്രീൻ.
"
"The Place: Your cousin's wedding.
","സ്ഥലം: ചേട്ടന്റെ കല്യാണമണ്ഡപം .
"
"The Punjab and Haryana High Court has said that marriage between first cousins is illegal.
","സഹോദരങ്ങളുടെ മക്കൾ തമ്മിൽ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമെന്ന് പഞ്ചാബ്-ഹരിയാന ഹൈക്കോടതി.
"
"The Punjab and Haryana High Court has stated that marriage between first cousins is illegal.
","സഹോദരങ്ങളുടെ മക്കൾ തമ്മിൽ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമെന്ന് പഞ്ചാബ്-ഹരിയാന ഹൈക്കോടതി.
"
"The Punjab and Haryana high court has said that marriage between first cousins is illegal.
","സഹോദരങ്ങളുടെ മക്കൾ തമ്മിൽ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമെന്ന് പഞ്ചാബ്-ഹരിയാന ഹൈക്കോടതി.
"
"The Punjab and Haryana high court has stated that marriage between first cousins is illegal.
","സഹോദരങ്ങളുടെ മക്കൾ തമ്മിൽ വിവാഹിതരാകുന്നത് നിയമവിരുദ്ധമെന്ന് പഞ്ചാബ്-ഹരിയാന ഹൈക്കോടതി.
"
"The Queen's first cousins Princess Alexandra, the Duke of Gloucester and the Duke of Kent, will also form the congregation.
","രാജ്ഞിയുടെ ഫസ്റ്റ് കസിൻ അലക്സാൻഡ്ര രാജകുമാരി, ഡ്യുക്ക് ഓഫ് ഗ്ലൌസസ്റ്റർ, ഡൂക്ക് ഓഫ് കെന്റ് എന്നിവരും ഇതിൽ പങ്കെടുക്കും.
"
"The SW8-MK2 provides a good bass response for both movie and music listening in a small (13x12) or medium (15x20) size room, but it doesn't reach down into the bottom depths of room-shaking LFE territory like its larger, more expensive cousins.
","ഒരു ചെറിയ (13x12) അല്ലെങ്കിൽ ഇടത്തരം (15x20) സൈസ് ശ്രേണിയിൽ മൂവി കേൾക്കുന്ന സംഗീതത്തിനും സംഗീതത്തിനും ഒരു നല്ല ബാസ് പ്രതികരണമാണ് SW8-MK2 നൽകുന്നത്, എന്നാൽ അത് വലിയതുപോലെയുള്ള റൂം-ഷെയ്ക്കിംഗ് LFE പ്രദേശത്തിന് താഴെയായില്ല, വിലകൂടിയ കസിൻസുകളാണ്.
"
"The children of my aunt and the children of my uncle are my cousins.
","സഖാവിൻറെ അമ്മാവൻറെ മക്കളാണ് എൻറെ അമ്മയും അമ്മാവന്മാരും.
"
"The cousins wanted to see the kids one last time.
","അവസാന നിമിഷം മക്കളെ ഒരുനോക്ക് കാണണം എന്നവർ ആഗ്രഹിച്ചിരുന്നു.
"
"The ears of African elephants are much larger than their cousins and are described as being shaped like the African continent, whereas the ears of Asian elephants are shaped like the Indian subcontinent.
","ആഫ്രിക്കൻ ആനകളുടെ ചെവികൾ വളരെ വലുതാണ്, അവ ആഫ്രിക്കൻ ഭൂഖണ്ഡത്തിന്റെ ആകൃതിയുമായും ഏഷ്യൻ ആനകളുടെ ചെവികൾ ഇന്ത്യൻ ഉപഭൂഖണ്ഡത്തിന്റെ ആകൃതിയുമായും സാമ്യപ്പെട്ടിരിക്കുന്നു.
"
"The family was close to Baddegama Wimalawansa, who was a cousin of Gamini's mother, a Buddhist monk and a well known principal of a school in Colombo.
","ഗാമിനിയുടെ അമ്മയുടെ കസിൻ, ബുദ്ധ സന്യാസി, കൊളംബോയിലെ ഒരു സ്കൂളിലെ അറിയപ്പെടുന്ന പ്രിൻസിപ്പൽ എന്നിവരായിരുന്നു ബഡ്ഡെഗാമ വിമലവൻസയുമായി അടുത്ത കുടുംബം.
"
"The girl's father and two of her cousins have been arrested.
","പെൺകുട്ടിയുടെ പിതാവും 2 അമ്മാവൻമാരും അറസ്റ്റിലായി.
"
"The last I had seen my cousin, she was 12 years old.
","എന്റെ അനിയത്തിയെ ഞാൻ അവസാനമായി കാണുമ്പോൾ അവൾക്ക് 12 വയസ്സായിരുന്നു.
"
"The name of the cousin?
","ചേട്ടന്റെ പേരിന്റെ ആദ്യക്ഷരം?
"
"The next morning, my cousins, uncles, aunt, and almost the entire extended family huddled together in front of the TV.
","പിറ്റേന്ന് അതിരാവിലെ, അമ്മാവന്മാരും അമ്മായിമാരും കസിൻസുമടങ്ങുന്ന മുഴുവൻ കുടുംബാഗങ്ങളും ടിവിക്കു മുമ്പിൽ നിലയുറപ്പിച്ചു.
"
"The only cousin died 7 years ago.
","ഏക മകളും ഏഴുവർഷം മുമ്പ് മരിച്ചു.
"
"The priest later told reporters that one of the girls belongs to Kanpur and was staying with her cousin here to pursue studies.
","പെൺകുട്ടികളിലൊരാൾ കാൺപൂരിലാണെന്നും പഠനത്തിനായി തന്റെ കസിനോടൊപ്പം ഇവിടെ താമസിക്കുകയാണെന്നും പുരോഹിതൻ പിന്നീട് മാധ്യമപ്രവർത്തകരോട് പറഞ്ഞു.
"
"The priest later told some reporters that one of the girls was from Kanpur and was staying with her cousin in Varanasi to pursue studies.
","പെൺകുട്ടികളിലൊരാൾ കാൺപൂരിലാണെന്നും പഠനത്തിനായി തന്റെ കസിനോടൊപ്പം ഇവിടെ താമസിക്കുകയാണെന്നും പുരോഹിതൻ പിന്നീട് മാധ്യമപ്രവർത്തകരോട് പറഞ്ഞു.
"
"The process for the beatification of their cousin Lucia who died in 2005, is also underway.
","2005ൽ ഇഹലോകവാസം വെടിഞ്ഞ സിസ്റ്റർ ലൂസിയയുടെ നാമകരണ നടപടികളും പുരോഗമിക്കുകയാണ്.
"
"The shield supports both RFID, and its close cousin NFC, which is essentially an extension of RFID technology.
","RFID, അതിന്റെ അടുത്ത കസിൻ NFC എന്നിവയെ പരിചയപ്പെടുത്തുന്നു , അത് പ്രധാനമായും RFID സാങ്കേതികവിദ്യയുടെ ഒരു വിപുലീകരണമാണ്.
"
"The sons of Kish, their cousins, married them.
","കിഷിന്റെ പുത്രൻമാരായ അവരുടെ ചാർച്ചക്കാർ അവരെ വിവാഹംചെയ്തു.
"
"The three children were Lucia dos Santos and her cousin, Francisco and Jacinta Marto.
","ലൂസിയ ഡോസ് സാന്റോസ്, കസിൻമാരായ ഫ്രാൻസിസ്കോ, ജസീന്ത മാർട്ടോ എന്നിവരായിരുന്നു ആ മൂന്നു കുട്ടികൾ.
"
"The three children were Lúcia dos Santos and her cousins Francisco and Jacinta Marto.
","ലൂസിയ ഡോസ് സാന്റോസ്, കസിൻമാരായ ഫ്രാൻസിസ്കോ, ജസീന്ത മാർട്ടോ എന്നിവരായിരുന്നു ആ മൂന്നു കുട്ടികൾ.
"
"The three children were Lúcia dos Santos and her cousins, Francisco and Jacinta Marto.
","ലൂസിയ ഡോസ് സാന്റോസ്, കസിൻമാരായ ഫ്രാൻസിസ്കോ, ജസീന്ത മാർട്ടോ എന്നിവരായിരുന്നു ആ മൂന്നു കുട്ടികൾ.
"
"The three children were Lúcia dos Santos and her cousins, siblings Francisco and Jacinta Marto.
","ലൂസിയ ഡോസ് സാന്റോസ്, കസിൻമാരായ ഫ്രാൻസിസ്കോ, ജസീന്ത മാർട്ടോ എന്നിവരായിരുന്നു ആ മൂന്നു കുട്ടികൾ.
"
"The three small children are my father's cousins.
","മക്കൾ മൂന്നും അച്ഛന്റെ ചെല്ലക്കുട്ടികളാണ്.
"
"The two actors are second cousins.
","രണ്ട് അഭിനേതാക്കൾ രണ്ടാമത്തെ കസിൻമാരാണ്.
"
"The virus is a strain of H3N2, a cousin of a flu that contributed to 18,000 deaths two years ago, public health authorities say.
","രണ്ട് വർഷം മുമ്പ് 18,000 പേരുടെ മരണത്തിന് കാരണമായ വൈറസിന്റെ വകഭേദമാണ് H3N2 വൈറസുകൾ.
"
"Their cousin Peter Phillips was inserted between them.
","മാത്രമല്ല അവരുടെ കസിൻ പീറ്റർ ഫിലിപ്സ് ഇവർക്കിടയിൽ നിലയുറപ്പിച്ചിരുന്നു.
"
"Their cousin, Peter Phillips, was between them.
","മാത്രമല്ല അവരുടെ കസിൻ പീറ്റർ ഫിലിപ്സ് ഇവർക്കിടയിൽ നിലയുറപ്പിച്ചിരുന്നു.
"
"There are no existing records of the striker's aunts and cousins while his nephew is yet to be identified at the time of writing this biography.
","സ്ട്രൈക്കറുടെ അമ്മായിമാരുടെയും കസിൻസിന്റെയും രേഖകളൊന്നും നിലവിലില്ല, ഈ ജീവചരിത്രം എഴുതുമ്പോൾ അദ്ദേഹത്തിന്റെ അനന്തരവനെ ഇതുവരെ തിരിച്ചറിഞ്ഞിട്ടില്ല.
"
"There are several supporting characters in the series, including Masha's cousin Dasha, a penguin adopted by the Bear, a young panda cub from China who is the Bear's cousin, two wolves who live in an old UAZ ambulance car, a tiger that worked with the bear in the circus, and a Female Bear that is the object of the bear's affections, along with a hare, squirrels and hedgehogs, and a pig (Rosie), goat, and dog who live in Masha's front yard.
","ഈ പരമ്പരയിലെ പല പിന്തുണയ്ക്കുന്ന കഥാപാത്രങ്ങളും മഷയുടെ കസിൻ ദാഷയും ബീറി സ്വീകരിച്ച പെൻഗിനും ഉൾക്കൊള്ളുന്ന പെൻഗ്വിൻ, ചൈനയിൽ നിന്നുള്ള ഒരു യുവ പാണ്ഡ കുപ്പ്, ഒരു പഴയ UAZ ആംബുലൻസ് കാർയിൽ ജീവിക്കുന്ന രണ്ട് ചെന്നായ്ക്കൾ, മുയലിന്റെ മുൻ മുറ്റത്ത് താമസിക്കുന്ന പന്നി (റോസി), കോഴി, നായ എന്നിവയോടൊപ്പം കരടിയിലെ സ്നേഹവും കരടിയുടെ സ്നേഹിതയുമായ ഒരിടത്ത് ഒരു പെൺഭാരവും ഉണ്ട്.
"
"There is no cousin brother or cousin sister in English.
","ഇംഗ്ലീഷിൽ Cousin brother, എന്നോ Cousin sister എന്നോ ഒരു പ്രയോഗമേ ഇല്ല.
"
"There was my mom's cousin.
","അവിടെ എന്റെ അമ്മച്ചിയുടെ കസിൻ ഉണ്ടായിരുന്നു.
"
"There were rumours doing the rounds that cousins Ranbir Kapoor and Kareena Kapoor Khan were approached for a family drama.
","കസിൻ രൺബീർ കപൂറും കരീനയും ഒരു ഫാമിലി ഡ്രാമയ്ക്കായി കൈ കോർക്കുന്നതായി റിപ്പോർട്ടുകളുണ്ടായിരുന്നു.
"
"There were uncles and cousins.
","അമ്മാവന്മാരും അമ്മായിമാരും ഒപ്പം തന്നെ ഉണ്ടായിരുന്നു.
"
"Therefore, cousin marriages are problematic.
","അതിനാൽ തന്നെ വിവാഹേതര ബന്ധങ്ങൾ പ്രശ്നം തന്നെയാണ്.
"
"They brought Barnabas' cousin, John Mark, with them.
","ബർണബാസിന്റെ കസിൻ ജോൺ മാർക്കിനെയും അവർ കൂടെക്കൂട്ടി.
"
"They only marry their cousins.
","തങ്ങളുടെ ഗോത്രക്കാരെ മാത്രമാണ് ഇവർ വിവാഹം ചെയ്യാറുള്ളത്.
"
"They went to stay for few days at cousin's house.
","കുറച്ച ദിവസം ഏട്ടന്റെ വീട്ടിൽ നിക്കാൻ പോയതാരുന്നു അവർ.
"
"This excludes cousins and/or friends of the family.
","ഇത് അനാവശ്യമായ ആൺസുഹൃത്തുക്കൾ / പെൺസുഹൃത്തുക്കൾ അല്ലെങ്കിൽ കുടുംബാംഗങ്ങൾ അകത്തേക്ക് കയറുന്നതിൽ നിന്നും അകറ്റിനിർത്തുന്നു.
"
"This is about my aunt and my cousin.
","ഇത് എൻ്റെയും അമ്മായിയച്ഛൻ്റെയും കഥ ആണ്.
"
"This is much more effective than if my cousin shares that same link for several reasons.
","പല കാരണങ്ങളാൽ എന്റെ കസിൻ അതേ ലിങ്ക് പങ്കിടുന്നു എന്നതിനേക്കാൾ ഇത് വളരെ ഫലപ്രദമാണ്.
"
"This is my cousin Christopher.
","ഇതാ എന്റെ മരുമകൻ ക്രിസ്റ്റഫർ.
"
"This is my cousin, Christopher.
","ഇതാ എന്റെ മരുമകൻ ക്രിസ്റ്റഫർ.
"
"This young man is my cousin.
","ആ യുവാവ് എൻറെ കസിനാണ്.
"
"Three of her cousins and her sister were killed in the attack.
","അന്നത്തെ ആക്രമണത്തിൽ അവരുടെ സഹോദരിയും മൂന്ന് കസിൻമാരും കൊല്ലപ്പെട്ടിരുന്നു.
"
"Three young cousins, aged 10, 8 and 6, found themselves trapped.
","10, 8, 6 വയസ് പ്രായമുള്ള മൂന്ന് യുവ കസിൻമാർ കുടുങ്ങിക്കിടക്കുന്നതായി കണ്ടെത്തി.
"
"To which, the priest later told reporters that one of the girls belongs to Kanpur and was staying with her cousin here to pursue studies.
","പെൺകുട്ടികളിലൊരാൾ കാൺപൂരിലാണെന്നും പഠനത്തിനായി തന്റെ കസിനോടൊപ്പം ഇവിടെ താമസിക്കുകയാണെന്നും പുരോഹിതൻ പിന്നീട് മാധ്യമപ്രവർത്തകരോട് പറഞ്ഞു.
"
"Two of his cousins are the accused in the case.
","ഇയാളുടെ രണ്ട് സുഹൃത്തുക്കളും കേസിൽ പ്രതികളാണ്.
"
"Two years later prince muhammad pushed aside his older cousin, muhammad bin nayef, to become crown prince.
","രണ്ടുവർഷം മുമ്പാണ് സൽമാൻ രാജാവിന്റെ സഹോദരൻ മുഖ്രീനെ മാറ്റി മരുമകനായ മുഹമ്മദ് ബിൻ നായിഫിനെ കിരീടാവകാശിയാക്കി പ്രഖ്യാപിച്ചത്.
"
"U.S. Representative Tom Rooney and former Florida State Representative Patrick Rooney Jr. are her cousin.
","യുഎസ് പ്രതിനിധി ടോം റൂണിയും മുൻ ഫ്ലോറിഡ സ്റ്റേറ്റ് പ്രതിനിധി പാട്രിക് റൂണി ജൂനിയറുമാണ് അവരുടെ കസിൻ.
"
"Udayanraje Bhosale's cousin Shivendrasinh, who represented the Satara seat for the NCP in Maharashtra Assembly, joined the BJP on July 31.
","മഹാരാഷ്ട്ര നിയമസഭയിൽ എൻസിപിയുടെ സതാര സീറ്റിനെ പ്രതിനിധീകരിച്ചിരുന്ന ഭോസാലെയുടെ കസിൻ ശിവേന്ദ്രസിങ് ജൂലൈ 31 നാണ് ബിജെപിയിൽ ചേർന്നത്.
"
"We soon arrived at her cousin's house.
","വൈകാതെ നമ്മൾ ചേച്ചിയുടെ വീട്ടിലെത്തി.
"
"We went for my cousin's wedding.
","മോൻ്റെ പെങ്ങളുടെ കല്യാണത്തിന് ഞങ്ങൾ വന്നിരുന്നു.
"
"We went to our grandma's cousin's daughter's wedding.
","ഉമ്മാൻറെ അമ്മായിടെ മകളുടെ കല്യാണത്തിന് പോയതായിരുന്നു ഞങ്ങൾ.
"
"Well, Ali was the cousin and son-in-law of Muhammad.
","മൊഹമ്മദിന്റെ അർത്ഥ സഹോദരനും മകളുടെ ഭർത്താവുമായിരുന്നു അലി.
"
"When Hasan was about 15 years of age, one of his cousins killed a Bedouin in the area.
","ഹസന് ഏകദേശം 15 വയസ്സുള്ളപ്പോൾ, അദ്ദേഹത്തിന്റെ ഒരു കസിൻ പ്രദേശത്ത് ഒരു ബെഡൂയിനെ കൊന്നു.
"
"When the parents learnt that their daughter was not only posting indecent photographs online but also instigating her cousins to do the same, they suffered heart attacks.
","മകൾ മാന്യമല്ലാത്ത ഫോട്ടോഗ്രാഫുകൾ ഓൺലൈനിൽ പോസ്റ്റ് ചെയ്യുക മാത്രമല്ല, തന്റെ കസിന്സിനെ അങ്ങനെ ചെയ്യാൻ പ്രേരിപ്പിക്കുകയും ചെയ്യുന്നുവെന്ന് അറിഞ്ഞ മാതാപിതാക്കൾക്ക് ഹൃദയാഘാതം സംഭവിച്ചു
"
"Whenever Real Madrid and Barcelona faced off, all my uncles and cousins would come to our home.
","റയൽ മാഡ്രിഡും ബാഴ്സലോണയും നേരിടുമ്പോഴെല്ലാം എന്റെ അമ്മാവന്മാരും കസിൻസും ഞങ്ങളുടെ വീട്ടിലേക്ക് വരും.
"
"Where are my parents and uncles and cousins?
","എന്റെ അച്ഛനും അമ്മയും ചേട്ടായിയും എവിടെ അങ്കിളേ. . . ?
"
"While growing up, he shared his time between football and boxing, building up his strength in a local gym with his cousin.
","വളർന്നു, ബോക്സിംഗും ഫുട്ബോളും തമ്മിൽ അദ്ദേഹം സമയം പങ്കിട്ടു, ഫുട്ബോളിൻറെ മനോഹരമായ കളിക്കുവേണ്ടി എല്ലാ ഊർജ്ജം ചെലവഴിക്കുന്നതിനുമുൻപ് തന്റെ കസിനുമായി ഒരു പ്രാദേശിക ജിമ്മിലെ തന്റെ കരുത്ത് പടുത്തുയർത്തുകയായിരുന്നു.
"
"While the iPod nano's new Home button works the same way as on its iOS cousins for returning to the home screen, it doesn't have those devices' other features.
","ഐപോഡ് നാനോയുടെ പുതിയ ഹോം ബട്ടൺ ഹോം സ്ക്രീനിൽ തിരിച്ചെത്തുന്നതിന് ഐഒഎസ് കസിൻസുകളിൽ അതേപോലെ പ്രവർത്തിക്കുന്നു, ആ ഉപകരണങ്ങളുടെ മറ്റ് സവിശേഷതകളില്ല.
"
"Wilma was her cousin.
","അവളുടെ കസിനായിരുന്നു വിമൽ.
"
"X's son is cousin of Y's son.
","Y യുടെ മകന്റെ മകന്റെ സഹോദരനാണ് X എന്നതിനാൽ Y യുടെ മകന്റെ മകൻ തന്നെയാണ് X.
"
"Yeah, I am his cousin.
",". . അതെ ഞാൻ അവന്റെ പാറുക്കുട്ടിയാണ്.
"
