eng_Latn,kan_Knda
"My grandmother was born in Warsaw.
","ನನ್ನ ತಾಯಿ ಜನಿಸಿದ್ದು ವಾರಾಣಸಿಯಲ್ಲೇ.
"
"My grandmother was born in such a house.
","ಇಂತಹ ಮನೆಯಲ್ಲಿ ಮೊಮ್ಮಗಳಾಗಿ ಜನಿಸಿದವಳು ನಾನು.
"
"My grandmother was in the house.
","ಅಜ್ಜ ಮನೆಯೊಳಗಿದ್ದ.
"
"My grandmother was large part of my life.
","ನನ್ನ ಅಮ್ಮ ನನ್ನ ಜೀವನ ಮುಖ್ಯ ಭಾಗವಾಗಿದ್ದರು.
"
"My grandmother was more traditional than my mother.
","ನನ್ನ ತಾಯಿ ನನ್ನ ತಂದೆಗಿಂತ ಹೆಚ್ಚು ಸಂಪ್ರದಾಯಸ್ಥ ಮಡಿವಂತಳು.
"
"My grandmother was much attached to him.
","ಅಜ್ಜ ಅವನಿಗೆ ಬಹಳ ಸೇರುತ್ತಿದ್ದ.
"
"My grandmother was very beautiful.
","ನನ್ನಜ್ಜಿ ಬಹಳ ಸುಂದರವಾಗಿದ್ದಳು
"
"My grandmother was very kind and loving.
","ನನ್ನ ತಾಯಿ ಬಹಳ ರೀತಿಯ ಮತ್ತು ಪ್ರೀತಿಯ ಆಗಿತ್ತು.
"
"My grandmother was very religious.
","ಅಮ್ಮ ತುಂಬಾ ಧಾರ್ಮಿಕಳಾಗಿದ್ದರು.
"
"My grandmother was with me.
","ಮೊಮ್ಮಗಳು ನನ್ನೊಡನೆಯೇ ಇದ್ದಳು.
"
"My grandmother would give me anything I wanted.
","ಏನು ಬೇಕಿದ್ದರೂ ಅಮ್ಮ ದುಡ್ಡು ಕೊಡುತ್ತಿದ್ದರು.
"
"My grandmother wrote a letter today.
","ಅಮ್ಮ ಇಂದು ನನ್ನಿಷ್ಟ ಪತ್ರೊಡೆ ಮಾಡಿಕೊಟ್ಟರು.
"
"My grandmother wrote a lot of poetry and stories.
","ನಮ್ಮ ಅವ್ವ ಸಾಕಷ್ಟು ಕವನ ಹಾಗು ಕತೆಗಳನ್ನು ಬರದು ಇಟ್ಟಿದ್ದಳು.
"
"My grandmother wrote this poem when she was 80.
","ನನ್ನ ತಾಯಿ ಈ ಕವನವನ್ನು ಬರೆದಾಗ ಅವಳಿಗೆ ಎಂಬತ್ತು ವರ್ಷಗಳಾಗಿದ್ದವು.
"
"My grandmother's House!
","ಅಜ್ಜನ ಮನೆ!
"
"My grandmother's birthday is arriving in the next month.
","ಮುಂದಿನ ತಿಂಗಳಲ್ಲಿ ಅಮ್ಮನ ದಿನ ಬರುತ್ತದೆ.
"
"My grandmother's death!
","ಅಜ್ಜನ ಸಾವು!
"
"My grandmother's fairly easy.
","ಅಮ್ಮ ಸಾಕಷ್ಟು ಸುಲಭವಾಗಿ.
"
"My grandmother's family lived there.
","ದೊಡ್ಡಮ್ಮನ ಸಂಸಾರ ಅಲ್ಲಿ ವಾಸವಾಗಿತ್ತು.
"
"My grandmother's father worked there as well.
","ನನ್ನ ಅಜ್ಜ,ಮುತ್ತಜ್ಜ ಕೂಡ ಅಲ್ಲಿಯೇ ಕೆಲಸ ಮಾಡಿದ್ದರಂತೆ.
"
"My grandmother's house is big.
","ಅಣ್ಣನ ಮನೆ ದೊಡ್ಡದು.
"
"My grandmother's house was enormous.
","ಅಜ್ಜನ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಿತ್ತು.
"
"My grandmother's house was huge.
","ಅಜ್ಜನ ಮನೆ ತುಂಬಾ ದೊಡ್ಡದಿತ್ತು.
"
"My grandmother's house!
","ಅಜ್ಜನ ಮನೆ!
"
"My grandmother's name is Victoria.
","ಈ ಮಹಾ ತಾಯಿಯ ಹೆಸರು ವಿಕ್ಟೋರಿಯಾ.
"
"My grandmother, my uncles, my cousins, everyone saw it.
","ನನ್ನಮ್ಮ, ನನ್ನವಳು, ನನ್ನಪುಟ್ಟಿ ಎಲ್ಲರೂ ಕಾಣಿಸಿದರು.
"
"My grandmother, she was a wonderful storyteller.
","ಅಮ್ಮ, ಅವಳೇ ಅದ್ಭುತ ಕತೆಗಾರ್ತಿಯಾಗಿದ್ದಳು.
"
"My grandmothers both had them.
","ಅಜ್ಜನಿಗೆ ಇವೆರಡೂ ಇದ್ದುವು.
"
"My grandmothers lived through both World Wars.
","ನನ್ನ ಅಜ್ಜ ಎರಡೂ ವಿಶ್ವ ಯುದ್ಧಗಳ ಮೂಲಕ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"My great grandmother was also a doctor.
","ನನ್ನ ಅಜ್ಜ ಸಹ ವೈದ್ಯರು.
"
"My great grandmother, my grandfather also worked there.
","ನನ್ನ ಅಜ್ಜ,ಮುತ್ತಜ್ಜ ಕೂಡ ಅಲ್ಲಿಯೇ ಕೆಲಸ ಮಾಡಿದ್ದರಂತೆ.
"
"My mom and grandmother were the biggest influences in my life.
","ತಾಯಿ ಮತ್ತು ಅಕ್ಕ ನನ್ನ ಜೀವನದಲ್ಲಿ ಬಹಳ ಮುಖ್ಯ ವ್ಯಕ್ತಿಗಳು.
"
"My mother and grandmother were at home.
","ಅಜ್ಜ ಹಾಗೂ ದೊಡ್ಡಮ್ಮನ ಮನೆಯಲ್ಲಿದ್ದಳು.
"
"My mother and grandmother were in the house.
","ಅಜ್ಜ ಹಾಗೂ ದೊಡ್ಡಮ್ಮನ ಮನೆಯಲ್ಲಿದ್ದಳು.
"
"My mother, grandmother and I were all cooking dinner together.
","ನಾನು, ಅಪ್ಪ, ಅಮ್ಮ, ತಮ್ಮ ಎಲ್ಲರೂ ಒಟ್ಟಿಗೆ ಕೂತ ಊಟ ಮಾಡ್ತೀವಿ.
"
"My younger sister was seriously hurt and my dad and grandmother were killed.
","ನನ್ನ ಚಿಕ್ಕಪ್ಪನನ್ನು ಹತ್ಯೆ ಮಾಡಲಾಯಿತು, ನನ್ನ ಚಿಕ್ಕಮ್ಮ ಮತ್ತು ನನ್ನ ಸೋದರಸಂಬಂಧಿಗಳಿಗೆ ತೀವ್ರವಾದ ಗಾಯಗಳಾಗಿವೆ.
"
"Not only the grandmother.
",". ಬರೀ ಅಮ್ಮನಿಗಲ್ಲ.
"
"One day her aunt came to her grandmother's home.
","ಒಂದು ದಿನ ಪುಟ್ಟನ ಅಜ್ಜ ಅವರ ಮನೆಗೆ ಬಂದಿದ್ದರು.
"
"One day, her grandmother died.
","ಕಡೆಗೊಂದು ದಿನ ಅಜ್ಜ ತೀರಿ ಹೋದರು.
"
"One day, the grandmother died.
","ಕಡೆಗೊಂದು ದಿನ ಅಜ್ಜ ತೀರಿ ಹೋದರು.
"
"One of my grandmothers passed away in 1984.
","ಸಹೋದರರಲ್ಲಿ ಒಬ್ಬರು 1984 ರಲ್ಲಿ ನಿಧನರಾದರು.
"
"Only weeks after Louis' birth, Willie left Mary Ann and Louis was placed in the care of his grandmother, Josephine Armstrong.
","ಲೂಯಿಸ್ ಹುಟ್ಟಿದ ಕೆಲವೇ ವಾರಗಳ ನಂತರ, ವಿಲ್ಲೀ ಮಾಯಾನ್ಳನ್ನು ತೊರೆದರು ಮತ್ತು ಲೂಯಿಸ್ ಅವರ ಅಜ್ಜ, ಜೋಸೆಫೀನ್ ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ನ ಕಾಳಜಿಯಲ್ಲಿ ಇರಿಸಲಾಯಿತು.
"
"Our grandmothers used this method.
","ಈ ವಿಧಾನವನ್ನು ನಮ್ಮ ದೂರದ ಪೂರ್ವಜರು ಬಳಸುತ್ತಿದ್ದರು.
"
"Photo of grandmother is on the table.
","ಮೇಜಿನ ಮೇಲೆ ಮೊಮ್ಮಕ್ಕಳ ಭಾವಚಿತ್ರಗಳು.
"
"Police say the grandmother was at her home with her grandson.
","ಆಕೆ ತನ್ನ ಅತ್ತೆ-ಮಾವನ ಮನೆಯಲ್ಲಿ ವಾಸಿಸುತ್ತಿದ್ದಳು ಎಂದು ಪೊಲೀಸರು ತಿಳಿಸಿದ್ದಾರೆ.
"
"Queen Victoria's grandmother
","ರಾಣಿ ವಿಕ್ಟೋರಿಯಾಳ ಮೊಮ್ಮಗಳು
"
"Ratan Tata was raised by his grandmother as his parents separated when he was merely 10 years old.
","ರತನ್ ಟಾಟಾ ಅವರು ಹುಟ್ಟಿನಿಂದ ಅಪ್ಪ ಅಮ್ಮನ ಜೊತೆ ಅಷ್ಟಾಗಿ ಇದ್ದವರಲ್ಲ ಏಕೆಂದರೆ ರತನ್ ಟಾಟಾರವರು ಹತ್ತು ವರ್ಷ ವಯಸ್ಸಿನ ಆಗಲೇ ತಂದೆ-ತಾಯಿ ವಿಚ್ಛೇದನವನ್ನು ಪಡೆದುಕೊಂಡಿದ್ದರು.
"
"Shayla is 20 years old and lives with her grandmother.
","ಸಿದ್ದುಗೆ ವಯಸ್ಸು 20, ಅವನ ಅಮ್ಮ ಪರಿಮಳ ಜೊತೆ ವಾಸಿಸುತ್ತಿದ್ದ.
"
"She ain't our grandmother.
","ನಿಜಕ್ಕೂ ಅವಳು ನಮ್ಮ ಮೊಮ್ಮಗಳಲ್ಲ.
"
"She included references to the accomplishments of a number of women, including her influential grandmother Anna Dalassena.
","ಆಕೆಯ ಅಜ್ಜ, ಅನ್ನಾ ದಲಾಸ್ಸೇನಾ ಸೇರಿದಂತೆ ಹಲವು ಮಹಿಳೆಯರ ಸಾಧನೆಗಳ ಕುರಿತು ಉಲ್ಲೇಖಗಳನ್ನು ಅವರು ಒಳಗೊಂಡಿತ್ತು.
"
"She is the Queen and the groom's grandmother.
","ಅಪ್ಪುಃ ಇವಳು ರಾಜ ಮತ್ತು ರಾಣಿಯ ಮೊಮ್ಮಗಳು.
"
"She lives with her grandmother, parents and older brother.
","ಆಕೆ ತನ್ನ ತಾಯಿ, ಹಿರಿಯ ಸಹೋದರ ಮತ್ತು ಅಜ್ಜನ ಜತೆ ಜತೆ ವಾಸವಾಗಿದ್ದಾಳೆ.
"
"She was a grandmother at the time.
","ಆ ಗಳಿಗೆಗಳಲ್ಲಿ ಆಕೆಗೆ ಅಮ್ಮನಾಗಿದ್ದೆ.
"
"She was the grandmother of Queen Victoria.
","ಈತ ವಿಕ್ಟೋರಿಯಾ ರಾಣಿಯ ಮೊಮ್ಮಗನಾಗಿದ್ದ.
"
"She's not actually my grandmother.
","ನಿಜಕ್ಕೂ ಅವಳು ನಮ್ಮ ಮೊಮ್ಮಗಳಲ್ಲ.
"
"Some grandmothers to ask questions about whether grapes can be given to nursing mothers answer quite simply: everything is useful if you know a sense of proportion.
","ದ್ರಾಕ್ಷಿಯನ್ನು ತಾಯಂದಿರಿಗೆ ಶುಶ್ರೂಷೆ ಮಾಡಬಹುದೆ ಎಂದು ಕೇಳಲು ಕೆಲವು ಅಮ್ಮಂದಿರು ಸರಳವಾಗಿ ಉತ್ತರಿಸುತ್ತಾರೆಃ ನಿಮಗೆ ಅನುಪಾತದ ಅರ್ಥವನ್ನು ತಿಳಿದಿದ್ದರೆ ಎಲ್ಲವೂ ಉಪಯುಕ್ತವಾಗಿದೆ.
"
"Some scholars conclude that Cleopatra's paternal grandmother, mother of Ptolemy XII, was not Cleopatra IV, but was a concubine.
","ಕ್ಲಿಯೋಪಾತ್ರಳ ತಂದೆಯ ತಂದೆಯ ಅಜ್ಜ, ಪ್ಟೋಲೆಮಿ XII ನ ತಾಯಿ, ಕ್ಲಿಯೋಪಾತ್ರ IV ಆಗಿರಲಿಲ್ಲ, ಆದರೆ ಒಂದು ಉಪಪತ್ನಿಯೆಂದು ಕೆಲವು ವಿದ್ವಾಂಸರು ತೀರ್ಮಾನಿಸಿದ್ದಾರೆ.
"
"That night my grandmother could not sleep.
","ಅಂದು ರಾತ್ರಿ ವಯಸ್ಸಾದ ಆ ತಾಯಿಗೆ ನಿದ್ದೆಯೇ ಬರಲಿಲ್ಲ.
"
"The Ohio woman facing criminal charges connected to a fight inside a McDonald's that stemmed from her anger about a slushy order pleaded guilty in 2014 to a separate attack on her grandmother.
","ಮೆಕ್ಡೊನಾಲ್ಡ್ಸ್ನೊಳಗಿನ ಜಗಳಕ್ಕೆ ಸಂಬಂಧಿಸಿದ ಕ್ರಿಮಿನಲ್ ಆರೋಪಗಳನ್ನು ಎದುರಿಸುತ್ತಿರುವ ಓಹಿಯೋ ಮಹಿಳೆ 2014 ರಲ್ಲಿ ತನ್ನ ಅಜ್ಜನ ಮೇಲೆ ಪ್ರತ್ಯೇಕ ದಾಳಿಗೆ ತಪ್ಪೊಪ್ಪಿಕೊಂಡಳು. . . .
"
"The author's father and grandmother
","ಮಹಾನ್ ಬರಹಗಾರನ ತಂದೆ ಮತ್ತು ತಾಯಿ
"
"The boys love grandmothers.
","ಮಕ್ಕಳಿಗೆ ಅಜ್ಜನಲ್ಲಿ ಪ್ರೀತಿ.
"
"The children are now being cared for by their grandmother.
","ಈಗ ಮಕ್ಕಳು ಮೊಮ್ಮಕ್ಕಳು ನೋಡಿಕೊಳ್ಳುತ್ತಿದ್ದಾರೆ.
"
"The children are now living safely with their grandmother.
","ಈಗ ಮಕ್ಕಳು ಮೊಮ್ಮಕ್ಕಳೊಂದಿಗೆ ಸುಖಸಂಸಾರ ನಡೆಸುತ್ತಿದ್ದಾರೆ.
"
"The children are now staying with their grandmother.
","ಈಗ ಮಕ್ಕಳು ಮೊಮ್ಮಕ್ಕಳೊಂದಿಗೆ ಸುಖಸಂಸಾರ ನಡೆಸುತ್ತಿದ್ದಾರೆ.
"
"The children are now with their grandmother.
","ಈಗ ಮಕ್ಕಳು ಮೊಮ್ಮಕ್ಕಳೊಂದಿಗೆ ಸುಖಸಂಸಾರ ನಡೆಸುತ್ತಿದ್ದಾರೆ.
"
"The exchanged enslaved people were Boy Willie's grandfather (who was only nine years old at the time) and great grandmother (after whom Berniece was named).
","ವಿನಿಮಯಗೊಂಡ ಗುಲಾಮರು ಬಾಯ್ ವಿಲ್ಲಿಯವರ ಅಜ್ಜರಾಗಿದ್ದರು (ಇವರು ಕೇವಲ 9 ವರ್ಷ ವಯಸ್ಸಾಗಿತ್ತು) ಮತ್ತು ಮುತ್ತಜ್ಜಿಯವರಾಗಿದ್ದರು (ಇವರ ನಂತರ ಬರ್ನಿಸ್ಸೆ ಹೆಸರಿಸಲಾಯಿತು).
"
"The grandmother died five years ago.
","ಆ ಅಜ್ಜ ಐದಾರು ವರ್ಷಗಳ ಹಿಂದೆ ತೀರಿಕೊಂಡರು.
"
"The grandmother looked at the girl.
","ಅಜ್ಜ ಆ ಹೆಣ್ಣನ್ನು ನೋಡಿದರು.
"
"The grandmother of his father was JW Maxwell, who became the national bank president.
","ಆಕೆಯ ತಂದೆ ಜೆ. ಡಬ್ಲ್ಯು. ಮ್ಯಾಕ್ಸ್ವೆಲ್, ನ್ಯಾಷನಲ್ ಬ್ಯಾಂಕ್ನ ಅಧ್ಯಕ್ಷರಾಗಿದ್ದರು.
"
"The grandmother thought for a second.
","ಅಜ್ಜ ಎರಡು ಕ್ಷಣ ಯೋಚಿಸಿದ.
"
"The grandmother's voice was faint.
","ಅಜ್ಜನ ಧ್ವನಿ ಗಡುಸಾಗಿತ್ತು.
"
"The grandmother, grandfather.
","ಅಜ್ಜ , ಮೊಮ್ಮಗ .
"
"The health of my grandmother has been declining recently.
","ಚಿಕ್ಕ ತಾಯಮ್ಮ ಅವ್ರ ಆರೋಗ್ಯ ಇತ್ತೀಚೆಗೆ ತೀವ್ರ ಹದಗೆಟ್ಟಿತ್ತು.
"
"The maternal grandmother is now deceased.
","ಮೃತ ಮುರಳಿಯ ತಾಯಿ ಈಗ ಅನಾಥವಾಗಿದ್ದಾರೆ.
"
"The memories of our grandmothers are precious as well.
","ನಮ್ಮ ಮೂತಮ್ಮನ ನೆನಪಿನ ಭಂಡಾರವೂ ಅಮೂಲ್ಯವಾಗಿತ್ತು.
"
"The mother and grandmother were home.
","ಅಜ್ಜ ಹಾಗೂ ದೊಡ್ಡಮ್ಮನ ಮನೆಯಲ್ಲಿದ್ದಳು.
"
"The next day her grandmother died.
","ಅದರ ಮಾರನೆ ದಿನ ಅಜ್ಜ ಸತ್ತರು .
"
"The next day the grandmother died.
","ಅದರ ಮಾರನೆ ದಿನ ಅಜ್ಜ ಸತ್ತರು .
"
"The next morning my mother dropped me off at my grandmother's house.
","ಮರುದಿನವೇ ಅಮ್ಮ ನನ್ನನ್ನು ಹೊತ್ತುಕೊಂಡು ಅಜ್ಜನ ಮನೆಗೆ ಹೊರಟಿದ್ದಳು.
"
"The parents and the boy's grandmother were questioned by police.
","ಹುಡುಗಿಯ ತಂದೆ ಹಾಗೂ ಆಕೆಯ ಅಜ್ಜ ಈ ಕೃತ್ಯವೆಸಗಿರುವುದಾಗಿ ಪೊಲೀಸರ ತನಿಖೆಯಿಂದ ತಿಳಿದುಬಂದಿದೆ.
"
"The village only has grandmothers and old people.
","ಇಲ್ಲಿನ ಗ್ರಾಮದಲ್ಲಿ ಕೇವಲ ದೊಡ್ಡವರು ಹಾಗು ವೃದ್ಧರು ಮಾತ್ರ ಇರುತ್ತಾರೆ.
"
"The world's best grandmother
","ಜಗತ್ತಿನ ಶ್ರೇಷ್ಠ ಅಮ್ಮ ನನ್ನಮ್ಮ
"
"Then his grandmother cared for him.
","ನಂತರ ಇವರ ಅಜ್ಜ ಇವರನ್ನು ನೋಡಿಕೊಂಡಿದ್ದರು.
"
"There are no charges against the grandmother.
","ಬೊಮ್ಮಾಯಿ ಮೇಲೆ ಯಾವುದೇ ರೀತಿಯ ಆರೋಪಗಳಿಲ್ಲ.
"
"There is nothing in the world more grand than a grandmother.
","ತಾಯಿಗಿಂತ ದೊಡ್ಡದಾದುದು ಪ್ರಪಂಚದಲ್ಲಿ ಬೇರಾವುದೂ ಇಲ್ಲ.
"
"There lived his grandmother.
","ಅಲ್ಲಿ ಅವರಿಗೆ ತಮ್ಮ ಅಜ್ಜ ವಾಸಿಸುತ್ತಿದ್ದರು.
"
"There was a grandmother.
","ಅಲ್ಲಿ ಒಬ್ಬ ಅಜ್ಜ ಇದ್ದರು.
"
"There was a picture in my grandmother's living room.
","ನನ್ನ ಅಮ್ಮನ ಅಪ್ಪನ (ಅಜ್ಜನ) ರೂಮಿನಲ್ಲಿ ಇವನದೊ೦ದು ಫೊಟೊವಿತ್ತು.
"
"These may be the first drawings of children, toys, which were played in childhood by grandmothers, Christmas garlands, mother's books and other things.
","ಈ ಬಾಲ್ಯದಲ್ಲಿ ಸಹ Grandmothers, ಕ್ರಿಸ್ಮಸ್ ಹೂಮಾಲೆ, ನನ್ನ ತಾಯಿಯ ಪುಸ್ತಕಗಳು ಮತ್ತು ಇತರ ವಿಷಯಗಳ ಆಡಿದ ಮಕ್ಕಳು, ಆಟಿಕೆಗಳು, ಮೊದಲ ರೇಖಾಚಿತ್ರಗಳು ಇರಬಹುದು.
"
"This grandmother is only 65 years old.
","ಈಗಷ್ಟೇ ಅಮ್ಮಳಾಗಿರುವ ಈ ಮಹಿಳೆಗೆ ಬರೋಬ್ಬರಿ 65 ವರ್ಷ.
"
"This is a story my grandmother told me a few years ago.
","ಅಮ್ಮ ಹೇಳಿದ ಕಥೆ ಇದು ತುಂಬಾ ವರ್ಷಗಳ ಹಿಂದೆ ನನ್ನ ತಾಯಿ ನನಗೆ ಹೇಳಿದ ಕತೆ ಇದು.
"
"This is my grandmother's story.
","ಇದು ಅಜ್ಜನ ಕಥೆ.
"
"This is possibly my grandmother.
","ಬಹುಶಃ ಇದು ಮೊಮ್ಮಗಳು ನನ್ನ ಅಜ್ಜ ಇಲ್ಲಿದೆ.
"
"Those dishes that our grandmothers were preparing, but which for some reason do not get bored even after many years.
","ಆ ಭಕ್ಷ್ಯಗಳು ಇನ್ನೂ ನಮ್ಮ grandmothers ತಯಾರಿಸಲಾಗುತ್ತದೆ, ಆದರೆ ಕೆಲವು ಕಾರಣಕ್ಕಾಗಿ ಅವರು ಅನೇಕ ವರ್ಷಗಳ ನಂತರವೂ ತಲೆಕೆಡಿಸಿಕೊಳ್ಳುತ್ತಿರಲಿಲ್ಲ.
"
"Traditional methods of treatment are tested for years, they are safe and have no side effects, however, along with medicines and should not refuse from the tips of our grandmothers.
","ವರ್ಷಗಳ ಪರೀಕ್ಷಿಸಿದ್ದಾರೆ ಚಿಕಿತ್ಸೆಯ ಸಾಂಪ್ರದಾಯಿಕ ವಿಧಾನಗಳು, ಅವರು ಸುರಕ್ಷಿತ ಮತ್ತು ನಮ್ಮ grandmothers ಸುಳಿವುಗಳನ್ನು ಇದು ಚಿಕಿತ್ಸೆಯ ಜೊತೆಗೆ ಮತ್ತು ಯಾವುದೇ ಅಡ್ಡ ಪರಿಣಾಮಗಳನ್ನು ಹೊಂದಿವೆ, ಆದ್ದರಿಂದ ಅಪ್ ನೀಡುವುದಿಲ್ಲ.
"
"Trisha resides in Chennai with her mother and grandmother.
","ರಾಘವ ತನ್ನ ತಾಯಿ ಮತ್ತು ಕುಟುಂಬದೊಂದಿಗೆ ಚೆನ್ನೈನ್ಲಲ್ಲಿ ನೆಲೆಸಿರುತ್ತಾನೆ.
"
"Ukrainian citizenship is acquired by birth, territorial origin (residence on the territory of Ukraine at different times of parents, grandmothers, grandfathers) or accepted by citizens of another state according to a special procedure.
","ಉಕ್ರೇನಿಯನ್ ಪೌರತ್ವ ವಿಶೇಷ ವಿಧಾನ ಅಡಿಯಲ್ಲಿ ಅಥವಾ ಇನ್ನೊಂದು ರಾಜ್ಯದ ತೆಗೆದ ವಿಷಯಗಳ (ತಮ್ಮ ತಂದೆ, ತಾತ ವಿವಿಧ ಸಮಯಗಳಲ್ಲಿ ಉಕ್ರೇನ್ ಪ್ರದೇಶದಲ್ಲಿ ನಿವಾಸ) ಜನ್ಮ ಭೂಗೋಳಿಕ ಮೂಲವನ್ನು ಪಡೆಯುತ್ತಾನೆ.
"
"We cannot allow politics to get in the way of protecting our mothers, daughters, and grandmothers.
","ನಮ್ಮ ತಾಯಿ, ಸಹೋದರಿ ಮತ್ತು ಮಗಳನ್ನು ರಕ್ಷಿಸುವ ವಿಚಾರದಲ್ಲಿ ರಾಜಕೀಯ ಮಾಡುವುದು ಬೇಡ.
"
"We had all been at my grandmother's house.
","ನಾವೆಲ್ಲರೂ ನನ್ನ ಅಜ್ಜನ ಮನೆಯಲ್ಲಿದ್ದೆವು.
"
"What is going on with the grandmother?
","ಅಜ್ಜ ಗೆ ಏನು ಸಂಭವಿಸುತ್ತಿದೆ?
"
"When I was small, my grandmother told me stories.
","ನಾನು ಚಿಕ್ಕವನಾಗಿದ್ದಾಗ ನನ್ನ ಅಜ್ಜ ನನಗೆ ಕಥೆಗಳನು ಹೀಳುವರು.
"
"When I was very young, my grandmother told me a lot of stories.
","ನಾನು ಸಣ್ಣವನಿರುವಾಗ ನನ್ನಜ್ಜ ನನಗೆ ತುಂಬಾ ಕತೆಗಳನ್ನು ಹೇಳುತ್ತಿದ್ದರು.
"
"While she was home sick and unable to grandmother, I had to drive home every weekend and some weeknights to help out with household duties and to care for her.
","ಅವರು ಮನೆಯಲ್ಲಿ ಅನಾರೋಗ್ಯ ಮತ್ತು ಕೆಲಸ ಮಾಡಲು ಸಾಧ್ಯವಾಗದಿದ್ದರೂ, ಪ್ರತಿ ವಾರಾಂತ್ಯದಲ್ಲಿ ಮತ್ತು ಕೆಲವು ವಾರದ ದಿನಗಳಲ್ಲಿ ಮನೆಮಾಲೀಕ ಕರ್ತವ್ಯಗಳೊಂದಿಗೆ ಸಹಾಯ ಮಾಡಲು ಮತ್ತು ನನ್ನ ಪುಟ್ಟ ತಂಗಿಗಾಗಿ ಕಾಳಜಿಯನ್ನು ವಹಿಸಬೇಕಾಯಿತು.
"
"Willie left Mary Ann only weeks after Louis' birth, and Louis was placed in the care of his grandmother, Josephine Armstrong.
","ಲೂಯಿಸ್ ಹುಟ್ಟಿದ ಕೆಲವೇ ವಾರಗಳ ನಂತರ, ವಿಲ್ಲೀ ಮಾಯಾನ್ಳನ್ನು ತೊರೆದರು ಮತ್ತು ಲೂಯಿಸ್ ಅವರ ಅಜ್ಜ, ಜೋಸೆಫೀನ್ ಆರ್ಮ್ಸ್ಟ್ರಾಂಗ್ ನ ಕಾಳಜಿಯಲ್ಲಿ ಇರಿಸಲಾಯಿತು.
"
"Your grandmother.
","ನಿಮ್ಮ ಅಮ್ಮಜಾಣೆ.
"
"a grandmother's
","ಮೊಮ್ಮಗಳ ಅಮ್ಮನ
"
"and the grandmother.
","ಹಾಗೂ ಮೊಮ್ಮಗಳು.
"
"few residing in the temple grandmothers happy to talk about the history of the cathedral, prompt where to put the candle, and be sure to see to it that your candle burned out.
","ಹಲವಾರು ಇತಿಹಾಸ ಕ್ಯಾಥೆಡ್ರಲ್ ನ ಬಗ್ಗೆ ಹೇಳಲು ಸಂತೋಷವಾಗಿರುವಿರಿ ದೇವಾಲಯದ Grandmothers ವಾಸಿಸುವ, ಅಲ್ಲಿ ಮೋಂಬತ್ತಿ ಹಾಕಲು ಕೇಳುತ್ತದೆ, ಮತ್ತು ಇದು ನೋಡಲು ನಿಮ್ಮ ಮೇಣದಬತ್ತಿಯ ಸುಟ್ಟುಹೋದ ಎಂದು ಖಚಿತಪಡಿಸಿಕೊಳ್ಳಿ.
"
"grandmother who died three years ago.
","ಮೂರು ವರ್ಷಗಳ ಹಿಂದೆ ತೀರಿಕೊಂಡ ಆ ಅಮ್ಮ ನನ್ನತ್ತೆ.
"
"grandmother's day.
","ಅಜ್ಜ ನ ದಿನ.
"
"grandmother's home!
","ಅಜ್ಜನ ಮನೆ!
"
"his 74-year-old grandmother.
","ಆತ 74 ವರ್ಷದ ಅಜ್ಜ.
"
"in his mother's and grandmother's
","ಅಜ್ಜ ಹಾಗೂ ಆತನ ಮೊಮ್ಮಗನದಲ್ಲಿ
"
"mother and grandmother, who managed
","ಅಮ್ಮ ಮತ್ತು ಅಪ್ಪ, ನಿರ್ವಹಿಸಲು
"
"what was her father's grandmother's name?
","'ಅಜ್ಜನ ಅಪ್ಪನ ಹೆಸರೇನಿತ್ತು?
"
"And she’s also a grandmother.
","ಜತೆಗೆ ಆಕೆ ತಾಯಿಯೂ ಹೌದು.
"
"It’s a 76-year-old grandmother.
","ಗಂಗಮ್ಮ 76 ವರ್ಷದವರು.
"
"Their father and grandmother work in the plantation.
","ಅಪ್ಪ ಅಮ್ಮ ಅವರಿವರ ಹೊಲದಲ್ಲಿ ಕೂಲಿ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾರೆ.
"
"His grandmother was former prime minister Indira Gandhi.
","ನಮ್ಮ ಹಿಂದಿನ ಪ್ರಧಾನ ಮಂತ್ರಿ ಗಳಾಗಿದ ಶಿ ಮತಿ ಇಂದಿರಾ ಗಾಂಧೀದವರು.
"
"Among the dead were my grandmother’s father, two brothers, and two sisters.
","ಮೃತರು ತಂದೆ -ತಾಯಿ, ಇಬ್ಬರು ಸಹೋದರರು , ಓರ್ವ ಅಕ್ಕನನ್ನು ಅಗಲಿದ್ದಾರೆ.
"
"Correna is a mum to two grown up children and a grandmother too.
","ಕರೆನ್ ಎರಡು ಬೆಳೆದ ಮಕ್ಕಳ ತಾಯಿ.
"
"His wife and grandmother were then arrested.
","ನಂತರ ಆತನ ಪತ್ನಿ ಮತ್ತು ಅತ್ತೆಯನ್ನು ವಶಕ್ಕೆ ಪಡೆದು ಕರೆದೊಯ್ದರು.
"
"A mother, grandmother, sister?
","ಅವರಿಗೆ ಅಕ್ಕ ತಂಗಿ, ಅಮ್ಮ ಅಪ್ಪ ಇಲ್ವಾ?
"
"He grew up under his grandmother’s guardianship.
","ಚಿಕ್ಕಮ್ಮನ ಆಶ್ರಯದಲ್ಲಿ ಅವರು ಬೆಳೆದಿದ್ದರು.
"
